Time,*gc_ldsq_t0/SQ_CAC_sig0_active,*gc_ldsq_t0/SQ_CAC_sig1_active,*gc_ldsq_t0/SQ_CAC_sig2_active,*gc_ldsq_t0/SQ_CAC_sig3_active,*gc_ldsq_t0/SQ_CAC_sig4_active,*gc_ldsq_t0/SQ_CAC_sig5_active,*gc_ldsq_t0/SQ_CAC_sig6_active,*gc_ldsq_t0/SQ_CAC_sig7_active,*gc_ldsq_t0/SQ_CAC_sig8_active,gc_sp_t
25319461,0,0,0,0,0,0,0,0,0,0.0596
25319530,0,0,0,0,0,0,0,0,0,0.05987
25319599,0,0,0,0,0,0,0,0,0,0.06029
25319668,0,0,0,0,0,0,0,0,0,0.0596
25319737,0,0,0,0,0,0,0,0,0,0.05961
25319806,0,0,0,0,0,0,0,0,0,0.05987
25319875,0,0,0,0,0,0,0,0,0,0.06029
25319944,0,0,0,0,0,0,0,0,0,0.05959
25320013,0,0,0,0,0,0,0,0,0,0.05961
25320082,0,0,0,0,0,0,0,0,0,0.05986
25320151,0,0,0,0,0,0,0,0,0,0.06029
25320220,0,0,0,0,0,0,0,0,0,0.05959
25320289,0,0,0,0,0,0,0,0,0,0.05961
25320358,0,0,0,0,0,0,0,0,0,0.05985
25320427,0,0,0,0,0,0,0,0,0,0.06029
25320496,0,0,0,0,0,0,0,0,0,0.05959
25320565,0,0,0,0,0,0,0,0,0,0.05962
25320634,0,0,0,0,0,0,0,0,0,0.05986
25320703,0,0,0,0,0,0,0,0,0,0.06029
25320772,0,0,0,0,0,0,0,0,0,0.05959
25320841,0,0,0,0,0,0,0,0,0,0.05963
25320910,0,0,0,0,0,0,0,0,0,0.05987
25320979,0,0,0,0,0,0,0,0,0,0.06029
25321048,0,0,0,0,0,0,0,0,0,0.05959
25321117,0,0,0,0,0,0,0,0,0,0.05963
25321186,0,0,0,0,0,0,0,0,0,0.05986
25321255,0,0,0,0,0,0,0,0,0,0.06028
25321324,0,0,0,0,0,0,0,0,0,0.020713
25321393,0,0,0,0,0,0,0,0,0,0.05968
25321462,0,0,0,0,0,0,0,0,0,0.05949
25321531,0,0,0,0,0,0,0,0,0,0.06
25321600,0,0,0,0,0,0,0,0,0,0.0602
25321669,0,0,0,0,0,0,0,0,0,0.05968
25321738,0,0,0,0,0,0,0,0,0,0.05949
25321807,0,0,0,0,0,0,0,0,0,0.06
25321876,0,0,0,0,0,0,0,0,0,0.0602
25321945,0,0,0,0,0,0,0,0,0,0.05968
25322014,0,0,0,0,0,0,0,0,0,0.05949
25322083,0,0,0,0,0,0,0,0,0,0.06
25322152,0,0,0,0,0,0,0,0,0,0.0602
25322221,0,0,0,0,0,0,0,0,0,0.05969
25322290,0,0,0,0,0,0,0,0,0,0.05949
25322359,0,0,0,0,0,0,0,0,0,0.06
25322428,0,0,0,0,0,0,0,0,0,0.0602
25322497,0,0,0,0,0,0,0,0,0,0.05969
25322566,0,0,0,0,0,0,0,0,0,0.05949
25322635,0,0,0,0,0,0,0,0,0,0.06001
25322704,0,0,0,0,0,0,0,0,0,0.0602
25322773,0,0,0,0,0,0,0,0,0,0.05969
25322842,0,0,0,0,0,0,0,0,0,0.05949
25322911,0,0,0,0,0,0,0,0,0,0.06001
25322980,0,0,0,0,0,0,0,0,0,0.0602
25323049,0,0,0,0,0,0,0,0,0,0.0597
25323118,0,0,0,0,0,0,0,0,0,0.05949
25323187,0,0,0,0,0,0,0,0,0,0.06001
25323256,0,0,0,0,0,0,0,0,0,0.0602
25323325,0,0,0,0,0,0,0,0,0,0.0597
25323394,0,0,0,0,0,0,0,0,0,0.05953
25323463,0,0,0,0,0,0,0,0,0,0.06002
25323532,0,0,0,0,0,0,0,0,0,0.06019
25323601,0,0,0,0,0,0,0,0,0,0.0597
25323670,0,0,0,0,0,0,0,0,0,0.05951
25323739,0,0,0,0,0,0,0,0,0,0.06001
25323808,0,0,0,0,0,0,0,0,0,0.06017
25323877,0,0,0,0,0,0,0,0,0,0.0597
25323946,0,0,0,0,0,0,0,0,0,0.0595
25324015,0,0,0,0,0,0,0,0,0,0.05999
25324084,0,0,0,0,0,0,0,0,0,0.06016
25324153,0,0,0,0,0,0,0,0,0,0.0597
25324222,0,0,0,0,0,0,0,0,0,0.03882
25324291,0,0,0,0,0,0,0,0,0,0.05985
25324360,0,0,0,0,0,0,0,0,0,0.06025
25324429,0,0,0,0,0,0,0,0,0,0.05959
25324498,0,0,0,0,0,0,0,0,0,0.05963
25324567,0,0,0,0,0,0,0,0,0,0.05984
25324636,0,0,0,0,0,0,0,0,0,0.06024
25324705,0,0,0,0,0,0,0,0,0,0.05959
25324774,0,0,0,0,0,0,0,0,0,0.05961
25324843,0,0,0,0,0,0,0,0,0,0.05983
25324912,0,0,0,0,0,0,0,0,0,0.06022
25324981,0,0,0,0,0,0,0,0,0,0.05958
25325050,0,0,0,0,0,0,0,0,0,0.05961
25325119,0,0,0,0,0,0,0,0,0,0.05983
25325188,0,0,0,0,0,0,0,0,0,0.06025
25325257,0,0,0,0,0,0,0,0,0,0.05957
25325326,0,0,0,0,0,0,0,0,0,0.0596
25325395,0,0,0,0,0,0,0,0,0,0.05982
25325464,0,0,0,0,0,0,0,0,0,0.06025
25325533,0,0,0,0,0,0,0,0,0,0.05956
25325602,0,0,0,0,0,0,0,0,0,0.05961
25325671,0,0,0,0,0,0,0,0,0,0.05983
25325740,0,0,0,0,0,0,0,0,0,0.06025
25325809,0,0,0,0,0,0,0,0,0,0.05956
25325878,0,0,0,0,0,0,0,0,0,0.05959
25325947,0,0,0,0,0,0,0,0,0,0.05983
25326016,0,0,0,0,0,0,0,0,0,0.06026
25326085,0,0,0,0,0,0,0,0,0,0.05956
25326154,0,0,0,0,0,0,0,0,0,0.05961
25326223,0,0,0,0,0,0,0,0,0,0.05982
25326292,0,0,0,0,0,0,0,0,0,0.06025
25326361,0,0,0,0,0,0,0,0,0,0.05956
25326430,0,0,0,0,0,0,0,0,0,0.0596
25326499,0,0,0,0,0,0,0,0,0,0.05982
25326568,0,0,0,0,0,0,0,0,0,0.06024
25326637,0,0,0,0,0,0,0,0,0,0.05955
25326706,0,0,0,0,0,0,0,0,0,0.0596
25326775,0,0,0,0,0,0,0,0,0,0.05982
25326844,0,0,0,0,0,0,0,0,0,0.06023
25326913,0,0,0,0,0,0,0,0,0,0.05955
25326982,0,0,0,0,0,0,0,0,0,0.0596
25327051,0,0,0,0,0,0,0,0,0,0.0598
25327120,0,0,0,0,0,0,0,0,0,0.06024
25327189,0,0,0,0,0,0,0,0,0,0.05954
25327258,0,0,0,0,0,0,0,0,0,0.0596
25327327,0,0,0,0,0,0,0,0,0,0.05982
25327396,0,0,0,0,0,0,0,0,0,0.06024
25327465,0,0,0,0,0,0,0,0,0,0.05954
25327534,0,0,0,0,0,0,0,0,0,0.0596
25327603,0,0,0,0,0,0,0,0,0,0.05983
25327672,0,0,0,0,0,0,0,0,0,0.06025
25327741,0,0,0,0,0,0,0,0,0,0.020713
25327810,0,0,0,0,0,0,0,0,0,0.05963
25327879,0,0,0,0,0,0,0,0,0,0.05946
25327948,0,0,0,0,0,0,0,0,0,0.05997
25328017,0,0,0,0,0,0,0,0,0,0.06017
25328086,0,0,0,0,0,0,0,0,0,0.05964
25328155,0,0,0,0,0,0,0,0,0,0.05947
25328224,0,0,0,0,0,0,0,0,0,0.05996
25328293,0,0,0,0,0,0,0,0,0,0.06017
25328362,0,0,0,0,0,0,0,0,0,0.05963
25328431,0,0,0,0,0,0,0,0,0,0.05947
25328500,0,0,0,0,0,0,0,0,0,0.05997
25328569,0,0,0,0,0,0,0,0,0,0.06018
25328638,0,0,0,0,0,0,0,0,0,0.05963
25328707,0,0,0,0,0,0,0,0,0,0.05947
25328776,0,0,0,0,0,0,0,0,0,0.05997
25328845,0,0,0,0,0,0,0,0,0,0.06017
25328914,0,0,0,0,0,0,0,0,0,0.05963
25328983,0,0,0,0,0,0,0,0,0,0.05946
25329052,0,0,0,0,0,0,0,0,0,0.05995
25329121,0,0,0,0,0,0,0,0,0,0.06018
25329190,0,0,0,0,0,0,0,0,0,0.05963
25329259,0,0,0,0,0,0,0,0,0,0.05946
25329328,0,0,0,0,0,0,0,0,0,0.05996
25329397,0,0,0,0,0,0,0,0,0,0.06017
25329466,0,0,0,0,0,0,0,0,0,0.05963
25329535,0,0,0,0,0,0,0,0,0,0.05946
25329604,0,0,0,0,0,0,0,0,0,0.05995
25329673,0,0,0,0,0,0,0,0,0,0.06017
25329742,0,0,0,0,0,0,0,0,0,0.05962
25329811,0,0,0,0,0,0,0,0,0,0.05946
25329880,0,0,0,0,0,0,0,0,0,0.05994
25329949,0,0,0,0,0,0,0,0,0,0.06018
25330018,0,0,0,0,0,0,0,0,0,0.05963
25330087,0,0,0,0,0,0,0,0,0,0.05947
25330156,0,0,0,0,0,0,0,0,0,0.05995
25330225,0,0,0,0,0,0,0,0,0,0.06018
25330294,0,0,0,0,0,0,0,0,0,0.05963
25330363,0,0,0,0,0,0,0,0,0,0.05947
25330432,0,0,0,0,0,0,0,0,0,0.05996
25330501,0,0,0,0,0,0,0,0,0,0.06019
25330570,0,0,0,0,0,0,0,0,0,0.05962
25330639,0,0,0,0,0,0,0,0,0,0.05946
25330708,0,0,0,0,0,0,0,0,0,0.03916
25330777,0,0,0,0,0,0,0,0,0,0.06028
25330846,0,0,0,0,0,0,0,0,0,0.05954
25330915,0,0,0,0,0,0,0,0,0,0.0596
25330984,0,0,0,0,0,0,0,0,0,0.05982
25331053,0,0,0,0,0,0,0,0,0,0.06028
25331122,0,0,0,0,0,0,0,0,0,0.05954
25331191,0,0,0,0,0,0,0,0,0,0.0596
25331260,0,0,0,0,0,0,0,0,0,0.05983
25331329,0,0,0,0,0,0,0,0,0,0.06027
25331398,0,0,0,0,0,0,0,0,0,0.05952
25331467,0,0,0,0,0,0,0,0,0,0.0596
25331536,0,0,0,0,0,0,0,0,0,0.05983
25331605,0,0,0,0,0,0,0,0,0,0.06028
25331674,0,0,0,0,0,0,0,0,0,0.05953
25331743,0,0,0,0,0,0,0,0,0,0.05961
25331812,0,0,0,0,0,0,0,0,0,0.05983
25331881,0,0,0,0,0,0,0,0,0,0.06029
25331950,0,0,0,0,0,0,0,0,0,0.05954
25332019,0,0,0,0,0,0,0,0,0,0.05959
25332088,0,0,0,0,0,0,0,0,0,0.05984
25332157,0,0,0,0,0,0,0,0,0,0.06029
25332226,0,0,0,0,0,0,0,0,0,0.05954
25332295,0,0,0,0,0,0,0,0,0,0.05959
25332364,0,0,0,0,0,0,0,0,0,0.05982
25332433,0,0,0,0,0,0,0,0,0,0.06029
25332502,0,0,0,0,0,0,0,0,0,0.05954
25332571,0,0,0,0,0,0,0,0,0,0.05959
